date, year, venuefi, venueeng, event, country, artformfi, arftormeng, genrefi, genreeng, crewfi, creweng, , , 
26/8/2024,2024,Huvila,Huvila,"Brandee Younger with UMO Helsinki Jazz Orchestra, Maija Kauhanen","US, FIN",musiikki,music,"jazz, kansanmusiikki","jazz, folk music",,#VALUE!,,,#VALUE!
27/8/2024,2024,Huvila,Huvila,"Ride plays Nowhere & Going Blank Again, Tinyhawk & Bizzarro","GBR, FIN",musiikki,music,"shoegaze, instrumentaali","shoegaze, instrumental",,#VALUE!,,,#VALUE!
28/8/2024,2024,Huvila,Huvila,"Antti Autio + jouset, Loney Dear","FIN, SVE",musiikki,music,indie,indie,,#VALUE!,,,#VALUE!
29/8/2024,2024,Huvila,Huvila,"Angélique Kidjo – Celebrating 40 Years, F","FRA-BEN, FIN",musiikki,music,"Länsi-Afrikkalainen pop, afrobeat, dancehall, hiphop, r&b;  r&b, hiphop, pop","West African pop, afrobeat, dancehall, hiphop, r&b;  r&b, hip hop, pop",,#VALUE!,,,#VALUE!
30/8/2024,2024,Huvila,Huvila,"Pariisin Kevät, Erika Sirola","FIN, FIN-CA",musiikki,music,pop,pop,,#VALUE!,,,#VALUE!
31/8/2024,2024,Huvila,Huvila,Maustetytöt & Kuolleet lehdet -elokuvanäytös,FIN,"musiikki, elokuva","music, film","indie, pop","indie, pop","Elokuvan ohjaus: Aki Kaurismäki, Pääosissa: Alma Pöysti, Jussi Vatanen, Janne Hyytiäinen, Nuppu Koivu, Matti Onnismaa, Martti Suosalo, Sakari Kuosmanen, Alina Tomnikov","Film direction: Aki Kaurismäki, Starring: Alma Pöysti, Jussi Vatanen, Janne Hyytiäinen, Nuppu Koivu, Matti Onnismaa, Martti Suosalo, Sakari Kuosmanen, Alina Tomnikov",,,#VALUE!
1/9/2024,2024,Huvila,Huvila,"Anna Puu, Mikko Franck & Vantaan Viihdeorkesteri",FIN,musiikki,music,pop,pop,,#VALUE!,,,#VALUE!
22/8/2024–24/8/2024,2024,Tanssin talo,House of Dance,Akram Khan Company: Jungle Book reimagined,GBR,tanssi,dance,nykytanssi,Contemporary dance,"Tanssijat: Maya Balam Meyong, Bea Bidault, Ferghas Clavey, Harry Theadora Foster, Filippo Franzese, Jasper Narvaez, Max Revell, Matthew Sandiford, Elpida Skourou ja Lani Yamanaka","Dancers: Maya Balam Meyong, Bea Bidault, Ferghas Clavey, Harry Theadora Foster, Filippo Franzese, Jasper Narvaez, Max Revell, Matthew Sandiford, Elpida Skourou and Lani Yamanaka",,Akram Khan,Akram Khan
15/8/2024,2024,Musiikkitalo,Music house,"Kansallisoopperan orkesteri, Hannu Lintu & Karita Mattila",FIN,musiikki,music,klassinen,classic,,#VALUE!,,,#VALUE!
20/8/2024 & 21/8/2024,2024,Musiikkitalo,Music house,Radion sinfoniaorkesteri & Esa-Pekka Salonen: Hovanštšina,FIN,musiikki,music,"klassinen, ooppera","classical, opera",,#VALUE!,Esa-Pekka Salonen,,#VALUE!
23/8/2024,2024,Musiikkitalo,Music house,"Helsingin kaupunginorkesterin toivekonsertti: Musiikki & mieli; Jukka-Pekka Saraste & Victor Wooten, basso","FIN, US",musiikki,music,klassinen,classic,"Keskustelemassa tasavallan presidentti Alexander Stubb, professori Suvi Saarikallio ja neurotieteilijä Daniel J. Levitin","Discussing the President of the Republic Alexander Stubb, Professor Suvi Saarikallio and neuroscientist Daniel J. Levitin",,,#VALUE!
28/8/2024,2024,Musiikkitalo,Music house,"The Cleveland Orchestra, Franz Welser-Möst & Víkingur Ólafsson","US, A, IS",musiikki,music,klassinen,classic,"Solistina Víkingur Ólafsson, piano","Soloist Víkingur Ólafsson, piano",Franz Welser-Möst,,#VALUE!
29/8/2024,2024,Musiikkitalo,Music house,The Cleveland Orchestra & Franz Welser-Möst,"US, A",musiikki,music,klassinen,classic,,#VALUE!,Franz Welser-Möst,,#VALUE!
30/8/2024,2024,Musiikkitalo,Music house,"Iveta Apkalna, urut: Glass & Bach",LV,musiikki,music,klassinen,classic,,#VALUE!,,,#VALUE!
1/9/2024,2024,Musiikkitalo,Music house,"Sibelius-Akatemia & Royal College of Music, Sakari Oramo, Anu Komsi","FIN, GBR",musiikki,music,klassinen,classic,,#VALUE!,,,#VALUE!
15/8/2024–1/9/2024,2024,Kaupungilla,In town,Kevin Abosch: AI Helsinki,IRL,"kuvataide, näyttely",,"valokuvaus, tekoäly","photography, artificial intelligence",,#VALUE!,,,#VALUE!
15/8/2024,2024,Kaupungilla,In town,BASSO,FIN,musiikki,,,#VALUE!,"Mukana mm. Awake Percussion, Ylioppilaskunnan Laulajat, Itä-Helsingin musiikkiopiston kontrabasisteja sekä vapaaehtoisia basisteja. Visuaalinen taiteilija Joonas Tikkanen.","Including e.g. Awake Percussion, Ylioppilaskuntan Laulajat, double bassists from the East Helsinki Music College and volunteer bassists. Visual artist Joonas Tikkanen.",,Lauri Porra,Lauri Porra
15/8/2024,2024,Kaupungilla,In town,Taiteiden yö 35 vuotta,,kaupunkitapahtuma,,,,,,,,#VALUE!
