date,year,venue,venue_eng,event,event_eng,country,genre,genre_eng,artform,artform_eng,performers,performers_eng,conductor,conductor_eng,crew,crew_eng
5/16/1968,1968,Seurasaari,Seurasaari,"Vanhaa suomalaista asuntokulttuuria, kansantanhuja, esittelyjä","Old Finnish housing culture, folk tales, introductions",FIN,,,,,,,,,,
5/16/1968,1968,Helsingin kaupunginteatteri,Helsinki City Theatre,Witold Gombrowicz: Vihkiäiset,Witold Gombrowicz: Wedding,FIN,teatteri,theater,,,"näyttelijät: Anneli Haahdenmaa, Marjatta Kallio, Martta Kontula, Hillevi Lagerstam,Kirsti Ortola, Elina Pohjanpää, Enni Rekola, Olavi Ahonen, Sakari Halonen, Yrjö Järvinen, Ismo Kallio, Kullervo Kalske, Lauri Komulainen, Esko Mannermaa, Jyrki Nousiainen, Topi Reinikka, Veikko Sorsakivi, Lars Svedberg, Arto Tuominen, Veikko Uusimäki","actors: Anneli Haahdenmaa, Marjatta Kallio, Martta Kontula, Hillevi Lagerstam, Kirsti Ortola, Elina Pohjanpää, Enni Rekola, Olavi Ahonen, Sakari Halonen, Yrjö Järvinen, Ismo Kallio, Kullervo Kalske, Lauri Komulainen, Esko Mannermaa, Jyrki Nousiainen, Topi Reinikka, Veikko Sorsakivi, Lars Svedberg, Arto Tuominen, Veikko Uusimäki",,,"Sakari Puurunen, ohjaus 
Leo Lehto, lavastus 
Heikki Värtsi/Jyrki Nousiainen, koreografia ","Sakari Puurunen, direction 
Leo Lehto, staging 
Heikki Värtsi/Jyrki Nousiainen, choreography "
5/17/1968,1968,Suomen kansallisooppera,Finnish National Opera,Bayerische Staatsoper München | Wolfgang Amadeus Mozart: Figaron häät,Bayerische Staatsoper München | Wolfgang Amadeus Mozart: The Marriage of Figaro,GER,musiikki,music,ooppera,opera,"Lilian Benningsen, Lotte Schädle, Annelie Waas, Benno Kusche, Albrecht Peter, Max Proebstl, Gerhard Stolze, David Thaw","Lilian Benningsen, Lotte Schädle, Annelie Waas, Benno Kusche, Albrecht Peter, Max Proebstl, Gerhard Stolze, David Thaw",Heinrich Hollreiser,Heinrich Hollreiser,"Günther Rennert, ohjaus 
Helmut Jürgens, lavastus ","Günther Rennert, direction 
Helmut Jürgens, staging "
5/17/1968,1968,Helsingin kaupunginteatteri,Helsinki City Theatre,"Dale Wasserman, Joe Darion & Mitch Leigh: Mies La Manchasta","Dale Wasserman, Joe Darion & Mitch Leigh: Mies La Manchasta",FIN,teatteri,theater,,,"Anja Haahdenmaa, Anneli Haahdenmaa, Rauni Ikäheimo, Martta Kontula, Olavi Ahonen, Mauno Blomqvist, Stig Fransman, Veikko Honkanen, Jarno Hiilloskorpi, Ismo Kallio, Uljas Kandolin, Aarre Karén, Lauri Komulainen, Vesa-Matti Loiri, Jyrki Nousiainen, Esko Pesonen, Topi Reinikka, Veikko Sinisalo, Paul Suominen, Lars Svedberg, Arto Tuominen","Anja Haahdenmaa, Anneli Haahdenmaa, Rauni Ikäheimo, Martta Kontula, Olavi Ahonen, Mauno Blomqvist, Stig Fransman, Veikko Honkanen, Jarno Hiilloskorpi, Ismo Kallio, Uljas Kandolin, Aarre Karén, Lauri Komulainen, Vesa-Matti Loiri, Jyrki Nousiainen, Esko Pesonen, Topi Reinikka, Veikko Sinisalo, Paul Suominen, Lars Svedberg, Arto Tuominen",Ilkka Kuusisto,Ilkka Kuusisto,"Kurt Nuotio, ohjaus 
Leo Lehto, lavastus 
Heikki Värtsi, koreografia ","Kurt Nuotio, direction 
Leo Lehto, staging 
Heikki Värtsi, choreography "
5/17/1968,1968,Meilahden kirkko,Meilahti church,Karl Richter,Karl Richter,GER,musiikki,music,klassinen,classic,urut Karl Richter,organ Karl Richter,,,,
5/17/1968,1968,Svenska Teatern,Swedish Theatre,Lee Harvey Oswald - montaasi,Lee Harvey Oswald - montage,FIN,teatteri,theater,,,"Gundel Henrikson, Berit Lundell, Sven Ehrström, Kurt Ingvall, Ivar Rosenblad","Gundel Henrikson, Berit Lundell, Sven Ehrström, Kurt Ingvall, Ivar Rosenblad",,,"Titta Karakorpi, ohjaus ","Titta Karakorpi, direction "
5/17/1968,1968,Helsingin kaupunginteatteri,Helsinki City Theatre,Maiju Lassila: Mimmi Paavaliina,Maiju Lassila: Mimmi Paavaliina,FIN,teatteri,theater,,,"Kirsti Ortola, Elina Pohjanpää, Eila Rinne, Risto Aaltonen, Hannes Häyrinen, Leo Jokela, Kalevi Kahra, Esko Mannermaa","Kirsti Ortola, Elina Pohjanpää, Eila Rinne, Risto Aaltonen, Hannes Häyrinen, Leo Jokela, Kalevi Kahra, Esko Mannermaa",,,"Matti Aro, ohjaus 
Kalervo Hakala, lavastus ","Matti Aro, direction 
Kalervo Hakala, staging "
5/17/1968,1968,Suomen kansallisteatteri,Finnish National Theater,Molière: Scapinin kujeet,Molière: Scapinin kujeet,FIN,teatteri,theater,,,"Elli Castrén, Maija Karhi, Rose-Marie Precht, Pekka Autiovuori, Tapio Hämäläinen, Martti Järvinen, Heikki Kinnunen, Pentti Siimes, Turo Unho","Elli Castrén, Maija Karhi, Rose-Marie Precht, Pekka Autiovuori, Tapio Hämäläinen, Martti Järvinen, Heikki Kinnunen, Pentti Siimes, Turo Unho",,,"Elina Lehtikunnas/Antti Tarkiainen, ohjaus 
Pekka Heiskanen, lavastus ","Elina Lehtkunnas/Antti Tarkiainen, direction 
Pekka Heiskanen, staging "
5/17/1968,1968,Suomen kansallisteatteri,Finnish National Theater,Sławomir Mrożek: Tango,Sławomir Mrożek: Tango,FIN,teatteri,theater,,,"Pia Hattara, Tea Ista, Henny Waljus, Kaarlo Halttunen, Jussi Jurkka, Tauno Palo, Matti Ranin","Pia Hattara, Tea Ista, Henny Waljus, Kaarlo Halttunen, Jussi Jurkka, Tauno Palo, Matti Ranin",,,"Jack Witikka, ohjaus 
Pekka Heiskanen, lavastus ","Jack Witikka, direction 
Pekka Heiskanen, staging "
5/18/1968,1968,Helsingin kaupunginteatteri,Helsinki City Theatre,Aleksei Arbuzov: Marik-parka,Aleksei Arbuzov: Marik-parka,FIN,teatteri,theater,,,"Heidi Krohn, Risto Aaltonen, Eero Keskitalo","Heidi Krohn, Risto Aaltonen, Eero Keskitalo",,,"Kurt Nuotio, ohjaus ja lavastus ","Kurt Nuotio, direction and staging "
5/18/1968,1968,Suomen kansallisooppera,Finnish National Opera,Bayerische Staatsoper München | Igor Stravinski: Hulttion tie,Bavarian State Opera Munich | Igor Stravinski: Hulttion tie,GER,musiikki,music,ooppera,opera,"Lilian Benningsen, Lotte Schädle, Annelie Waas, Benno Kusche, Albrecht Peter, Max Proebstl, Gerhard Stolze, David Thaw","Lilian Benningsen, Lotte Schädle, Annelie Waas, Benno Kusche, Albrecht Peter, Max Proebstl, Gerhard Stolze, David Thaw",Heinrich Hollreiser,Heinrich Hollreiser,"Günther Rennert, ohjaus 
Helmut Jürgens, lavastus ","Günther Rennert, direction 
Helmut Jürgens, staging "
5/18/1968,1968,Suomen kansallisteatteri,Finnish National Theater,Bertolt Brecht: Setsuanin hyvä ihminen,Bertolt Brecht: The Good Man of Sichuan,FIN,teatteri,theater,,,"Pia Hattara, Rauha Rentola, Eeva-Kaarina Volanen, Kaarlo Halttunen, Tapio Hämäläinen, Risto Mäkelä, Leo Riuttu, Heikki Savolainen","Pia Hattara, Rauha Rentola, Eeva-Kaarina Volanen, Kaarlo Halttunen, Tapio Hämäläinen, Risto Mäkelä, Leo Riuttu, Heikki Savolainen",,,"Veli-Matti Saikkonen, ohjaus 
Max Gygax, lavastus ","Veli-Matti Saikkonen, direction 
Max Gygax, set design "
5/18/1968,1968,Helsingin kaupunginteatteri,Helsinki City Theatre,Heimo Susi: Elämisen tekniikka,The Wolf Tribe: The Technology of Living,FIN,teatteri,theater,,,"Elina Pohjanpää, Aarre Karén, Eero Keskitalo, Esko Mannermaa","Elina Pohjanpää, Aarre Karén, Eero Keskitalo, Esko Mannermaa",,,"Timo Tiusanen, ohjaus 
Kalervo Hakala, lavastus ","Timo Tiusanen, direction 
Kalervo Hakala, staging "
5/18/1968,1968,Helsingin yliopisto,University of Helsinki,Helsingin kaupunginorkesteri,Helsinki City Orchestra,FIN,musiikki,music,klassinen,classic,piano Nikita Magalov,piano Nikita Magalov,Sixten Ehrling,Sixten Ehrling,,
5/18/1968,1968,Suomen kansallisteatteri,Finnish National Theater,Jacques Audiberti: Quoat - Quoat,Jacques Audiberti: Quoat - Quoat,FIN,teatteri,theater,,,"Ansa Ikonen, Maija Karhi, Eila Peitsalo, Martti Järvinen, Esa Saario, Holger Salin","Ansa Ikonen, Maija Karhi, Eila Peitsalo, Martti Järvinen, Esa Saario, Holger Salin",,,"Jyri Schreck, ohjaus 
Rolf Stegars, lavastus ","Jyri Schreck, direction 
Rolf Stegars, set design "
5/18/1968,1968,Helsingin kaupunginteatteri,Helsinki City Theatre,Joseph Stein / Jerry Bock / Sheldon Harnick: Viulunsoittaja katolla,Joseph Stein / Jerry Bock / Sheldon Harnick: Fiddler on the Roof,FIN,teatteri,theater,,,"Anja Haahdenmaa, Anneli Haahdenmaa, Eira Karén, Marjatta Kallio, Martta Kontula, Liisa-Maija Laaksonen, Maija Leino, Marjatta Raita, Eila Rinne, Elsa Turakainen, Mauno Blomqvist, Stig Fransman, Sasu Haapanen, Jarno Hiilloskorpi, Leo Jokela, Ismo Kallio, Kullervo Kalske, Uljas Kandolin, Vesa-Matti Loiri, Jyrki Nousiainen, Oiva Sala, Lars Svedberg, Arto Tuominen, Veikko Uusimäki","Anja Haahdenmaa, Anneli Haahdenmaa, Eira Karén, Marjatta Kallio, Martta Kontula, Liisa-Maija Laaksonen, Maija Leino, Marjatta Raita, Eila Rinne, Elsa Turakainen, Mauno Blomqvist, Stig Fransman, Sasu Haapanen, Jarno Hiilloskorpi, Leo Jokela, Ismo Kallio, Kullervo Kalske, Uljas Kandolin, Vesa-Matti Loiri, Jyrki Nousiainen, Oiva Sala, Lars Svedberg, Arto Tuominen, Veikko Uusimäki",Ilkka Kuusisto,Ilkka Kuusisto,"Kurt Nuotio, ohjaus 
Leo Lehto, lavastus 
Heikki Värtsi, koreografia ","Kurt Nuotio, direction 
Leo Lehto, staging 
Heikki Värtsi, choreography "
5/18/1968,1968,Suomenlinna & Otaniemen kappeli,Suomenlinna & Otaniemi Chapel,Norjan solistikuoro,Norwegian Solo Choir,NOR,musiikki,music,klassinen,classic,19.5. baritoni Asbjörn Hansli (epäselvää oliko muita solisteja),19.5. baritone Asbjörn Hansli (unclear if there were other soloists),Knut Nystedt,Knut Nystedt,,
5/18/1968,1968,Svenska Teatern,Swedish Theatre,"Tom Jones / Harvey Schmidt: Tahdon, tahdon","Tom Jones / Harvey Schmidt: I will, I will",FIN,teatteri,theater,,,"Liisa Tuomi, Leif Wager","Liisa Tuomi, Leif Wager",George de Godzinsky,George de Godzinsky,"Gordon Marsh, ohjaus 
Lasse Elo, lavastus ","Gordon Marsh, director 
Lasse Elo, staging "
5/18/1968,1968,Helsingin kaupunginteatteri,Helsinki City Theatre,William Shakespeare: Richard III,William Shakespeare: Richard III,FIN,teatteri,theater,,,"Eila Pehkonen, Pirkko Peltomäki, Eila Rinne, Tiina Rinne, Olavi Ahonen, Matti Aro, Mauno Blomqvist, Matti Dahlberg, Stig Fransman, Sakari Halonen, Jarno Hiilloskorpi,Veikko Honkanen, Hannes Häyrinen, Yrjö Järvinen, Kalevi Kahra, Ismo Kallio, Kullervo Kalske, Aarre Karén, Rauno Ketonen, Lauri Komulainen, Veikko Linna, Vesa-Matti Loiri, Leo Lähteenmäki, Jyrki Nousiainen, Esko Pesonen, Topi Reinikka, Matti Ruohola, Oiva Sala, Veikko Sinisalo, Pehr-Olof Sirén, Lars Svedberg, Arto Tuominen, Veikko Uusimäki","Eila Pehkonen, Pirkko Peltomäki, Eila Rinne, Tiina Rinne, Olavi Ahonen, Matti Aro, Mauno Blomqvist, Matti Dahlberg, Stig Fransman, Sakari Halonen, Jarno Hiilloskorpi, Veikko Honkanen, Hannes Häyrinen, Yrjö Järvinen, Kalevi Kahra, Ismo Kallio, Kullervo Kalske , Aarre Karén, Rauno Ketonen, Lauri Komulainen, Veikko Linna, Vesa-Matti Loiri, Leo Lähteenmäki, Jyrki Nousiainen, Esko Pesonen, Topi Reinikka, Matti Ruohola, Oiva Sala, Veikko Sinisalo, Pehr-Olof Sirén, Lars Svedberg, Arto Tuominen, Veikko Uusimäki",,,"Kalle Holmberg, ohjaus 
Kari Liila, lavastus 
musiikki Henrik Otto Donner","Kalle Holmberg, direction 
Kari Liila, set design 
music by Henrik Otto Donner"
5/19/1968,1968,Suomen kansallisteatteri,Finnish National Theater,Arthur Miller: Hinta,Arthur Miller: The Price,FIN,teatteri,theater,,,"Kyllikki Forssell, Helge Herala, Leo Riuttu, Heikki Savolainen","Kyllikki Forssell, Helge Herala, Leo Riuttu, Heikki Savolainen",,,"Edvin Laine, ohjaus 
Rolf Stegars, lavastus ","Edvin Laine, direction 
Rolf Stegars, set design "
5/19/1968,1968,Svenska Teatern,Swedish Theatre,Batsheva Dance Company,Batsheva Dance Company,ISR,tanssi,dance,,,,,,,"19.5. & 21.5. Daughters of the Garden: koreografia Donald McKayle
Errand into the Maze: koreografia Martha Graham
Side Show: koreografia Norman Morrice
Voices of Fire: koreografia Pearl Lang
20.5. Rehearsal: koreografia Norman Morrice
Cave of the Heart: koreografia Martha Graham
Mythical Hunters: koreografia Glen Tetley","19.5. & 21.5. Daughters of the Garden: Choreography by Donald McKayle
Errand into the Maze: choreography by Martha Graham
Side Show: Choreography by Norman Morrice
Voices of Fire: choreography by Pearl Lang
20.5. Rehearsal: Choreography by Norman Morrice
Cave of the Heart: choreography by Martha Graham
Mythical Hunters: choreography by Glen Tetley"
5/19/1968,1968,Helsingin kaupunginteatteri,Helsinki City Theatre,Bengt Ahlfors / Frej Lindqvist / Erna Tauro: Oli kevät,Bengt Ahlfors / Frej Lindqvist / Erna Tauro: It was spring,FIN,teatteri,theater,,,"Anja Haahdenmaa, Anneli Haahdenmaa, Rauni Ikäheimo, Martta Kontula, Olavi Ahonen, Mauno Blomqvist, Stig Fransman, Veikko Honkanen, Jarno Hiilloskorpi, Ismo Kallio, Uljas Kandolin, Aarre Karén, Lauri Komulainen, Vesa-Matti Loiri, Jyrki Nousiainen, Esko Pesonen, Topi Reinikka, Veikko Sinisalo, Paul Suominen, Lars Svedberg, Arto Tuominen","Anja Haahdenmaa, Anneli Haahdenmaa, Rauni Ikäheimo, Martta Kontula, Olavi Ahonen, Mauno Blomqvist, Stig Fransman, Veikko Honkanen, Jarno Hiilloskorpi, Ismo Kallio, Uljas Kandolin, Aarre Karén, Lauri Komulainen, Vesa-Matti Loiri, Jyrki Nousiainen, Esko Pesonen, Topi Reinikka, Veikko Sinisalo, Paul Suominen, Lars Svedberg, Arto Tuominen",Ilkka Kuusisto,Ilkka Kuusisto,"Kurt Nuotio, ohjaus 
Leo Lehto, lavastus 
Heikki Värtsi, koreografia ","Kurt Nuotio, direction 
Leo Lehto, staging 
Heikki Värtsi, choreography "
5/19/1968,1968,Helsingin kaupunginteatteri,Helsinki City Theatre,Federico Garcia Lorca: Donna Rosita,Federico Garcia Lorca: Donna Rosita,FIN,teatteri,theater,,,"Maria Aro, Marjatta Kallio, Eira Karén, Heidi Krohn, Hillevi Lagerstam, Kirsti Ortola, Elina Pohjanpää, Marjatta Raita, Katriina Rinne, Maija-Leena Soinne, Elsa Turakainen, Sasu Haapanen, Leo Jokela, Eero Keskitalo, Esko Mannermaa","Maria Aro, Marjatta Kallio, Eira Karén, Heidi Krohn, Hillevi Lagerstam, Kirsti Ortola, Elina Pohjanpää, Marjatta Raita, Katriina Rinne, Maija-Leena Soinne, Elsa Turakainen, Sasu Haapanen, Leo Jokela, Eero Keskitalo, Esko Mannermaa",,,"Risto Aaltonen & Wilho Ilmari, ohjaus 
Lassi Salovaara, lavastus ","Risto Aaltonen & Wilho Ilmari, direction 
Lassi Salovaara, staging "
5/19/1968,1968,Suomen kansallisteatteri,Finnish National Theater,Kersti Bergroth: Anu ja Mikko,Kersti Bergroth: Anu and Mikko,FIN,teatteri,theater,,,"Elli Castren, Leena Häkinen, Pirkko Karppi, Rauni Luoma, Henny Waljus, Tapio Hämäläinen, Sakari Jurkka, Uuno Montonen, Risto Mäkelä, Matti Romppanen, Turo Unho","Elli Castren, Leena Häkinen, Pirkko Karppi, Rauni Luoma, Henny Waljus, Tapio Hämäläinen, Sakari Jurkka, Uuno Montonen, Risto Mäkelä, Matti Romppanen, Turo Unho",,,"Vilho Siivola, ohjaus 
Pekka Heiskanen, lavastus ","Vilho Siivola, direction 
Pekka Heiskanen, staging "
5/19/1968,1968,Dipoli,Dipole,Sylvano Bussotti: Solo,Sylvano Bussotti: Alone,ITA,musiikki,music,klassinen,classic,"Sylvano Bussotti, Karl-Erik Welin","Sylvano Bussotti, Karl-Erik Welin",,,"Sylvano Bussotti & Jan Sederholm, ohjaus ","Sylvano Bussotti & Jan Sederholm, direction "
5/19/1968,1968,Suomen kansallisteatteri,Finnish National Theater,Tom Stoppard: Haukat ja haikarat,Tom Stoppard: Hawks and Herons,FIN,teatteri,theater,,,"Soila Komi, Marja Korhonen, Pekka Autiovuori, Kauko Helavirta, Tapio Hämäläinen, Sakari Jurkka, Martti Järvinen, Heikki Kinnunen, Risto Mäkelä, Risto Palm, Esko Salminen, Pentti Siimes, Turo Unho","Soila Komi, Marja Korhonen, Pekka Autiovuori, Kauko Helavirta, Tapio Hämäläinen, Sakari Jurkka, Martti Järvinen, Heikki Kinnunen, Risto Mäkelä, Risto Palm, Esko Salminen, Pentti Siimes, Turo Unho",,,"Jack Witikka, ohjaus 
Heikki Sirén, lavastus ","Jack Witikka, direction 
Heikki Sirén, staging "
5/20/1968,1968,Dipoli,Dipole,Karlheinz Stockhausen: Hymn,Karlheinz Stockhausen: Hymn,GER,musiikki,music,klassinen,classic,"Alfred Alings, Harald Bojé, Johannes G. Fritsch, Rolf Gehlhaar, Aloys Kontarsky, Karlheinz Stockhausen","Alfred Alings, Harald Bojé, Johannes G. Fritsch, Rolf Gehlhaar, Aloys Kontarsky, Karlheinz Stockhausen",,,,
5/20/1968,1968,Suomen kansallisteatteri,Finnish National Theater,Kungliga dramatiska teatern Stockholm | Euripides: Alcestis,Royal Dramatic Theater Stockholm | Euripides: Alcestis,SWE,teatteri,theater,,,"Anita Björk, Helena Brodin, Yvonne Lundeqvist, Ellika Mann, Lena Nyman, Kotti Chave, Axel Düberg, Sven-Eric Gamble, Åke Lagergren, Jan-Erik Lindqvist, Oscar Ljung, Jan Nyman, George Rydeberg Henrik Schildt, Tor Stål, Sven-Bertil Taube","Anita Björk, Helena Brodin, Yvonne Lundeqvist, Ellika Mann, Lena Nyman, Kotti Chave, Axel Düberg, Sven-Eric Gamble, Åke Lagergren, Jan-Erik Lindqvist, Oscar Ljung, Jan Nyman, George Rydeberg Henrik Schildt, Tor Stål, Sven- Bertil Taube",,,"Alf Sjöberg, ohjaus 
Lennart Mörk, lavastus 
Donya Feuer, koreografia 
Ulf Björlin, musiikki ","Alf Sjöberg, direction 
Lennart Mörk, staging 
Donya Feuer, choreography 
Ulf Björlin, music "
5/20/1968,1968,Suomen kansallisteatteri,Finnish National Theater,Peter Shaffer: Musta komedia,Peter Shaffer: Black comedy,FIN,teatteri,theater,,,"Pia Hattara, Tea Ista, Soila Komi, Kauko Helovirta, Jussi Jurkka, Joel Rinne, Holger Salin, Esko Salminen","Pia Hattara, Tea Ista, Soila Komi, Kauko Helovirta, Jussi Jurkka, Joel Rinne, Holger Salin, Esko Salminen",,,"Jack Witikka, ohjaus 
Pekka Heiskanen, lavastus ","Jack Witikka, direction 
Pekka Heiskanen, staging "
5/20/1968,1968,Svenska Teatern,Swedish Theatre,Walentin Chorell: Tel Aviv - Berlin,Valentin Chorell: Tel Aviv - Berlin,FIN,teatteri,theater,,,"Göran Cederberg, Henake Schubak","Göran Cederberg, Henake Schubak",,,"Eddie Stenberg, ohjaus ","Eddie Stenberg, director "
5/21/1968,1968,Ritarihuone,Knight's room,Lastenlaulusta sinfoniaan,From a children's song to a symphony,FIN,musiikki,music,klassinen,classic,Tapiolan lukion kuoro ja orkesteri,Choir and orchestra of Tapiola high school,Erkki Pohjola,Erkki Pohjola,,
5/21/1968,1968,Suomen kansallisteatteri,Finnish National Theater,Minna Canth: Papin perhe,Minna Canth: The priest's family,FIN,teatteri,theater,,,"Pia Hattara, Leena Häkinen, Kaisu Leppänen, Aino-Inkeri Notkola, Henny Waljus, Eeva-Kaarina Volanen, Jalmari Rinne, Martti Romppanen, Pentti Siimes, Turo Unho","Pia Hattara, Leena Häkinen, Kaisu Leppänen, Aino-Inkeri Notkola, Henny Waljus, Eeva-Kaarina Volanen, Jalmari Rinne, Martti Romppanen, Pentti Siimes, Turo Unho",,,"Wilho Ilmari, ohjaus 
Rolf Stegars, lavastus","Wilho Ilmari, direction 
Rolf Stegars, set design"
5/21/1968,1968,Helsingin kaupunginteatteri,Helsinki City Theatre,Pierre Beaumarchais: Figaron häät,Pierre Beaumarchais: The Marriage of Figaro,FIN,teatteri,theater,,,"Marjatta Kallio, Heidi Krohn, Stig Fransman, Ismo Kallio","Marjatta Kallio, Heidi Krohn, Stig Fransman, Ismo Kallio",,,"Adam Hanuszkiewicz, ohjaus ","Adam Hanuszkiewicz, director "
5/21/1968,1968,Helsingin kaupunginteatteri,Helsinki City Theatre,"Teatr Powszechny, Varsova | Stanislav Wyspianski: Häät","Teatr Powszechny, Warsaw | Stanislav Wyspianski: The Wedding",POL,teatteri,theater,,,,,,,"Adam Hanuszkiewicz, ohjaus ","Adam Hanuszkiewicz, director "
5/22/1968,1968,Ritarihuone & Otaniemen kappeli,Knight's room & Otaniemi chapel,New Yorkin kamarisolistit,Chamber Soloists of New York,USA,musiikki,music,klassinen,classic,"Charles Bressler, Albert Fuller, Melvin Kaplan, Alexander Kouguell, Ynez Lynch, John Solum, Gerald Tarack","Charles Bressler, Albert Fuller, Melvin Kaplan, Alexander Kouguell, Ynez Lynch, John Solum, Gerald Tarack",,,,
5/22/1968,1968,Suomen kansallisooppera,Finnish National Opera,Pjotr Tsaikovski: Jevgeni Onegin,Pyotr Tchaikovsky: Eugene Onegin,FIN,musiikki,music,ooppera,opera,"Heljä Angervo-Karttunen, Maiju Kuusoja, Galina Pisarenko, Aino Takala, Hannu Heikkilä, Hans Leopold, Juri Mazurok, Veikko Tyrväinen, Aarne Vainio","Heljä Angervo-Karttunen, Maiju Kuusoja, Galina Pisarenko, Aino Takala, Hannu Heikkilä, Hans Leopold, Juri Mazurok, Veikko Tyrväinen, Aarne Vainio",Jussi Jalas,Jussi Jalas,"Irja Simola, ohjaus 
Paul Suominen, lavastus ","Irja Simola, direction 
Paul Suominen, set design "
5/23/1968,1968,Suomen kansallisooppera,Finnish National Opera,Alban Berg: Lulu,Alban Berg: Lulu,FIN,musiikki,music,ooppera,opera,"Heljä Angervo-Karttunen, Maiju Kuusoja, Tamara Lund, Raija Määttänen-Falck, Jorma Falck, Eero Erkkilä, Hannu Heikkilä, Peter Lindroos, Pertti Melasniemi, Harri Nikkonen, Eero Rousti, Matti Salminen, Aatos Tapala, Penti Tuominen","Heljä Angervo-Karttunen, Maiju Kuusoja, Tamara Lund, Raija Määttänen-Falck, Jorma Falck, Eero Erkkilä, Hannu Heikkilä, Peter Lindroos, Pertti Melasniemi, Harri Nikkonen, Eero Rousti, Matti Salminen, Aatos Tapala, Penti Tuominen",Jussi Jalas,Jussi Jalas,"Lauri-Juhani Ruuskanen, ohjaus 
Paul Suominen, lavastus ","Lauri-Juhani Ruuskanen, direction 
Paul Suominen, set design "
